source,target,previous_speaker,responding_speaker,previous_quote,response_quote,response_sentence_count,token_gap
Beth,Jo,Jo,Beth, They are quite worn out . Marmee must have a new pair . ," I thought I 'd get her some with my dollar , ",1,1
Amy,Beth,Beth,Amy," I thought I 'd get her some with my dollar , "," No , I shall ! ",1,4
Amy,Meg,Amy,Meg," No , I shall ! "," I 'm the oldest , ",1,4
Jo,Meg,Meg,Jo," I 'm the oldest , "," I 'm the man of the family now Papa is away , and I shall prov ide the slippers , for he told me to take special care of Mother while he was gone . ",1,12
Beth,Jo,Jo,Beth," I 'm the man of the family now Papa is away , and I shall prov ide the slippers , for he told me to take special care of Mother while he was gone . "," I 'll tell you what we 'll do , ",1,1
Beth,Jo,Beth,Jo," let 's each get her something for Christmas , land not get anything for ourselves . "," That 's like you , dear ! What will we get ? ",2,1
Jo,Meg,Jo,Meg," That 's like you , dear ! What will we get ? ", I shall give her a nice pair of gloves . ,1,30
Jo,Meg,Meg,Jo, I shall give her a nice pair of gloves . ," Army shoes , best to be had , ",1,1
Beth,Jo,Jo,Beth," Army shoes , best to be had , "," Some handkerchiefs , all hemmed , ",1,4
Amy,Beth,Beth,Amy," Some handkerchiefs , all hemmed , "," I 'll get a little bottle of cologne . She likes it , and it wo n't cost much , so I 'll have some left to buy my pencils , ",2,4
Amy,Meg,Amy,Meg," I 'll get a little bottle of cologne . She likes it , and it wo n't cost much , so I 'll have some left to buy my pencils , ", How will we give the things ? ,1,4
Jo,Meg,Meg,Jo, How will we give the things ? ," Put them on the table , and bring her in and see her open the bundles . Do n't you remember how we used to do on our birthdays ? ",2,4
Beth,Jo,Jo,Beth," Put them on the table , and bring her in and see her open the bundles . Do n't you remember how we used to do on our birthdays ? "," I used to be so frightened when it was my turn to sit in the chair with the crown on , and see you all come marching round to give the presents , with a kiss . I liked the things and the kisses , but it was dreadful to have you sit looking at me while I opened the bundles , ",2,4
Beth,Jo,Beth,Jo," I used to be so frightened when it was my turn to sit in the chair with the crown on , and see you all come marching round to give the presents , with a kiss . I liked the things and the kisses , but it was dreadful to have you sit looking at me while I opened the bundles , "," Let Marmee think we are getting things for ourselves , and then surprise her . We must go shopping tomorrow afternoon , Meg . There is so much to do about the play for Christmas night , ",3,19
Jo,Meg,Jo,Meg," Let Marmee think we are getting things for ourselves , and then surprise her . We must go shopping tomorrow afternoon , Meg . There is so much to do about the play for Christmas night , "," I do n't mean to act any more after this time . I 'm getting too old for such things , ",2,23
Jo,Meg,Meg,Jo," I do n't mean to act any more after this time . I 'm getting too old for such things , "," You wo n't stop , I know , as long as you can tr ail round in a white gown with your hair down , and wear gold - paper jewelry . You are the best actress we 've got , and there 'll be an end of everything if you quit the boards , ",2,20
Amy,Jo,Jo,Amy," We ought to rehearse tonight . Come here , Amy , and do the fainting scene , for you are as stiff as a poker in that . "," I ca n't help it . I never saw anyone faint , and I do n't choose to make myself all black and blue , tumbling flat as you do . If I can go down eas ily , I 'll drop . If I ca n't , I shall fall into a chair and be graceful . I do n't car e if Hugo does come at me w ith a pistol , ",5,1
Amy,the villain of the piece,Amy,the villain of the piece," I ca n't help it . I never saw anyone faint , and I do n't choose to make myself all black and blue , tumbling flat as you do . If I can go down eas ily , I 'll drop . If I ca n't , I shall fall into a chair and be graceful . I do n't car e if Hugo does come at me w ith a pistol , "," Do it this way . Clasp your hands so , and st agger across the room , crying frantically , ' Roderigo ! Save me ! Save me ! ' and away went Jo , with a melodramatic scream which was truly thrilling . Amy followed , but she poked her hands out stiffly before her , and jerked herself along as if she went by machinery , and her ",6,32
Meg,the villain of the piece,the villain of the piece,Meg," was mo re suggestive of pins being run into her than of fear and anguish . Jo gave a desp airing groan , and Meg la ughed outright , while Beth let her bread burn as she watched the fun with interest . ", ,2,32
Meg,the witch,Meg,the witch, , Ha ! Ha ! ,1,67
Meg,the witch,the witch,Meg, Ha ! Ha ! ," It 's the best we 've had yet , ",1,1
Beth,Meg,Meg,Beth," It 's the best we 've had yet , "," I do n't see how you can write and act such splendid things , Jo . You 're a regular Shakespeare ! ",2,15
Beth,Jo,Beth,Jo," I do n't see how you can write and act such splendid things , Jo . You 're a regular Shakespeare ! "," Not quite , ",1,21
Jo,Meg,Jo,Meg," I do think ' T he Witch 's Curse , an Operatic Tragedy ' is rather a nice thing , but I 'd like to try M acbeth , if we only had a trapdoor for Banquo . I always wanted to do the killing part . ` Is that a dagger that I see before me ? "," No , it 's the toasting fork , with Mother 's shoe on it instead of the bread . Beth 's stage- struck ! ",2,22
Meg,"a tall , motherly lady",Meg,"a tall , motherly lady"," No , it 's the toasting fork , with Mother 's shoe on it instead of the bread . Beth 's stage- struck ! "," Glad to find you so merry , my girls , ",1,15
"a tall , motherly lady",the most splendid mother in the world,"a tall , motherly lady",the most splendid mother in the world," Glad to find you so merry , my girls , "," Well , dearies , how have you got on today ? There was so much to do , getting the boxes ready to go tomorrow , that I did n't come ho me to dinner . Has anyone called , Beth ? How is your cold , Meg ? Jo , you look tired to death . Come and kiss me , baby . ",6,71
Mrs. Ma rch,the most splendid mother in the world,the most splendid mother in the world,Mrs. Ma rch," Well , dearies , how have you got on today ? There was so much to do , getting the boxes ready to go tomorrow , that I did n't come ho me to dinner . Has anyone called , Beth ? How is your cold , Meg ? Jo , you look tired to death . Come and kiss me , baby . ", I 've got a treat for you after supper . ,1,137
Jo,Mrs. Ma rch,Mrs. Ma rch,Jo, I 've got a treat for you after supper . , A letter ! A letter ! Three cheers for Father ! ,3,38
Jo,Mrs. March,Jo,Mrs. March, A letter ! A letter ! Three cheers for Father ! ," Yes , a nice long letter . He is well , and thinks he shall get through the cold season better than we feared . He sends all sorts of loving wishes for Christmas , and an especial message to you girls , ",3,1
Jo,Mrs. March,Mrs. March,Jo," Yes , a nice long letter . He is well , and thinks he shall get through the cold season better than we feared . He sends all sorts of loving wishes for Christmas , and an especial message to you girls , "," Hurry and get done ! Do n't stop to quirk your little finger and simper over your plate , Amy , ",2,19
Jo,Meg,Jo,Meg," Hurry and get done ! Do n't stop to quirk your little finger and simper over your plate , Amy , "," I think it was so splendid in Father to go as chaplain when he was too old to be drafted , and not strong enough for a soldier , ",1,59
Jo,Meg,Meg,Jo," I think it was so splendid in Father to go as chaplain when he was too old to be drafted , and not strong enough for a soldier , "," Do n't I wish I could go as a drummer , a vivan -- what 's its name ? Or a nurse , so I could be near him and help him , ",2,5
Amy,Jo,Jo,Amy," Do n't I wish I could go as a drummer , a vivan -- what 's its name ? Or a nurse , so I could be near him and help him , "," It must be very disagreeable to sleep in a te nt , and eat all sorts of bad - tasting things , and drink out of a tin mug , ",1,8
Jo,Meg,Meg,Jo," I think too much of my looks an d hate to work , but wo n't any more , if I can help it . "," I 'll try and be what he love s to call me , ` a little woman ' and not be rough and wild , but do my duty here instead of wanting to be some where else , ",1,1
Jo,Mrs. March,Jo,Mrs. March," I 'll try and be what he love s to call me , ` a little woman ' and not be rough and wild , but do my duty here instead of wanting to be some where else , "," Do you remember how you used to play Pilgri ms Progress when you were little things ? Nothing delighted you more than to have me tie my piece bags on your backs for burdens , give you hats and sticks and rolls of paper , and let you travel through the house from the cellar , which was the City of De struction , up , up , to the housetop , where you had all the lovely things you could collect to make a Celestial City . ",2,106
Jo,Mrs. March,Mrs. March,Jo," Do you remember how you used to play Pilgri ms Progress when you were little things ? Nothing delighted you more than to have me tie my piece bags on your backs for burdens , give you hats and sticks and rolls of paper , and let you travel through the house from the cellar , which was the City of De struction , up , up , to the housetop , where you had all the lovely things you could collect to make a Celestial City . "," What fun it was , especially going by th e lions , fighting Apollyon , and passing through the valley where the hob - goblins were , ",1,1
Jo,Meg,Jo,Meg," What fun it was , especially going by th e lions , fighting Apollyon , and passing through the valley where the hob - goblins were , "," I liked the place where the bundles fell off and tumbled downstairs , ",1,4
Amy,Meg,Meg,Amy," I liked the place where the bundles fell off and tumbled downstairs , "," I do n't remember much about it , except that I was afraid of the cellar and the dark entry , and always liked the cake and milk we had up at the top . If I was n't too old for such things , I 'd rather like to play it over again , ",2,4
Amy,her mother,Amy,her mother," Really , Mother ? Where are our bundles ? "," Each of you told what your burden was just now , except Beth . I rath er think she has n't got any , ",2,12
Meg,her mother,her mother,Meg," Yes , I have . Mine is dishes and dusters , and envying girls with nice pianos , and being afraid of people . "," Let us do it , ",1,29
Jo,Meg,Meg,Jo," It is only another name for trying to be good , and the story may help us , for though we do want to be good , it 's hard work and we forget , and do n't do our best . "," We were in the Slough of Despond tonight , and Mother came and pulled us out as Help did in the book . We ought to have our roll of directions , like Christian . What shall we do about that ? ",4,1
Jo,Mrs. March,Jo,Mrs. March," We were in the Slough of Despond tonight , and Mother came and pulled us out as Help did in the book . We ought to have our roll of directions , like Christian . What shall we do about that ? "," Look under your pillows Christmas morning , and you will find your guidebook , ",1,23
Jo,Meg,Jo,Meg," Merry Christ mas , "," Girls , ",1,130
Beth,Meg,Meg,Beth," Mother wants us to read and love and mind these books , and we must begin at once . We used to be faithful about it , but since Father went away and all this war trouble unsettled us , we have neglected many things . You can do as you please , but I shall keep my book on the tabl e here and read a little every morning as soon as I wake , for I know it will do me good and help me through the day . "," How good Meg is ! Come , Amy , let 's do as th ey do . I 'll help you with the hard words , and they '' explain things if we do n't understa nd , ",3,41
Amy,Beth,Beth,Amy," How good Meg is ! Come , Amy , let 's do as th ey do . I 'll help you with the hard words , and they '' explain things if we do n't understa nd , "," I 'm glad mine is blue , ",1,17
Amy,Meg,Amy,Meg," I 'm glad mine is blue , ", Where is Mother ? ,1,39
Hannah,Meg,Meg,Hannah, Where is Mother ? ," Goodness only knows . some poor creeter come a- beggin ' , and your ma went straight off to see what was needed . There never was such a woman for givin ' away vittles and drink , clothes and firin ' , ",3,23
Hannah,Meg,Hannah,Meg," Goodness only knows . some poor creeter come a- beggin ' , and your ma went straight off to see what was needed . There never was such a woman for givin ' away vittles and drink , clothes and firin ' , "," She will be back soon , I think , so fry your cakes , and have everything ready , ",1,29
Jo,Meg,Meg,Jo," why , wher e is Amy 's bottle of cologne ? "," She took it out a minute ago , and went off with it to put a ribbon on it , or some such notion , ",1,12
Beth,Jo,Jo,Beth," She took it out a minute ago , and went off with it to put a ribbon on it , or some such notion , "," How nice my handkerchiefs l ook , do n't they ? Hannah washed and ironed them for me , and I marked them all myself , ",2,19
Beth,Jo,Beth,Jo," How nice my handkerchiefs l ook , do n't they ? Hannah washed and ironed them for me , and I marked them all myself , ", Bless the child ! She 's gone and put ` Mothe r ' on them instead of ` M. March ' . How funny ! ,3,18
Beth,Jo,Jo,Beth, Bless the child ! She 's gone and put ` Mothe r ' on them instead of ` M. March ' . How funny ! ," Is n't that right ? I thought it was better to do it s o , because Meg 's initials are M.M. , and I do n't want anyone to use these but Marmee , ",2,8
Beth,Meg,Beth,Meg," Is n't that right ? I thought it was better to do it s o , because Meg 's initials are M.M. , and I do n't want anyone to use these but Marmee , "," It 's all right , dear , and a very pretty idea , qu ite sensible too , for no one can ever mistake now . It will please her very much , I know , ",2,8
Jo,Meg,Meg,Jo," It 's all right , dear , and a very pretty idea , qu ite sensible too , for no one can ever mistake now . It will please her very much , I know , "," There 's Mother . Hide the basket , quick ! ",2,15
Jo,Meg,Jo,Meg," There 's Mother . Hide the basket , quick ! "," Where have you been , and what are you hiding behind you ? ",1,36
Amy,Meg,Meg,Amy," Where have you been , and what are you hiding behind you ? "," Do n't laugh at me , Jo ! I did n't mean anyone should know till the time came . I only meant to change the little bottle for a big one , and I gave all my money to get it , and I 'm truly trying not to be selfish any more . ",3,23
Amy,Beth,Amy,Beth," Do n't laugh at me , Jo ! I did n't mean anyone should know till the time came . I only meant to change the little bottle for a big one , and I gave all my money to get it , and I 'm truly trying not to be selfish any more . "," You see I felt ashamed of my present , afte r reading and talking about being good this morning , so I ran round the corner and changed it the minute I was up , and I 'm so glad , for mine is the handsomest now . ",1,65
Beth,the girls,Beth,the girls," You see I felt ashamed of my present , afte r reading and talking about being good this morning , so I ran round the corner and changed it the minute I was up , and I 'm so glad , for mine is the handsomest now . "," Merry Christmas , Marmee ! Many of them ! Thank you for our books . We read some , and mean to every day , ",4,26
Jo,the girls,the girls,Jo," Merry Christmas , little daughters ! I 'm glad you began at once , and hope you will keep on . But I want to say one word before we sit down . Not far away from here lies a poor woman with a little newborn baby . Six children are huddled into one bed to keep from freezing , for they have no fire . There is nothing to eat over there , and the oldest boy came to tell me they were suffering hunger and cold . My girls , will you give them your breakfast as a Christmas present ? ", I 'm so glad you came before we began ! ,1,32
Beth,Jo,Jo,Beth, I 'm so glad you came before we began ! , May I go and help carry the things to the poor little children ? ,1,1
Amy,Beth,Beth,Amy, May I go and help carry the things to the poor little children ? ," I shall take the cream and the muffins , ",1,5
Amy,Mrs. March,Amy,Mrs. March," I shall take the cream and the muffins , "," I thought you 'd do it , ",1,30
Mrs. March,the poor woman,Mrs. March,the poor woman," You shall all go and help me , and when we come back we will have bread and milk for breakfast , and make it up at dinnertime . "," Ach , mein Gott ! It is good angels come to us ! ",2,102
Jo,the poor woman,the poor woman,Jo," Ach , mein Gott ! It is good angels come to us ! "," Funny angels in hoods and mittens , ",1,10
Jo,the girls,Jo,the girls," Funny angels in hoods and mittens , ", Das ist gut ! ,1,124
the girls,the poor things,the girls,the poor things, Das ist gut ! , Die Engel - kinder ! ,1,1
Meg,the poor things,the poor things,Meg, Die Engel - kinder ! ," That 's loving our neighbor better than ourselves , and I like it , ",1,113
Jo,Meg,Meg,Jo," That 's loving our neighbor better than ourselves , and I like it , "," She 's coming ! Strike up , Beth ! Open the door , Amy ! Three cheers for Marmee ! ",4,75
Don Pedro,Zara,Zara,Don Pedro, Alas ! Alas for Zara ! , I told you so ! I to ld you so ! ,2,55
Don Pedro,The servant,Don Pedro,The servant, Do n't laugh ! Act as if it was all right ! ," Bear them to the cap tives in their cells , and tell them I shall come anon . ",1,141
Amy,Hannah,Hannah,Amy," Mrs. March 's compliments , and would the ladies walk down to supper . ", Is it fairies ? ,1,124
Amy,Beth,Amy,Beth, Is it fairies ? ," Santa Claus , ",1,4
Beth,Jo,Beth,Jo, Mother did it . ," Aunt March had a good fit and sent the supper , ",1,17
Jo,Mrs. March,Jo,Mrs. March," Aunt March had a good fit and sent the supper , "," All wrong . Old Mr. Laurence sent it , ",2,9
Mrs. March,That boy,Mrs. March,That boy, The Laurence boy 's grandfather ! What in the world put such a thing into his head ? We do n't know him ! ' exclaimed Meg . , ,2,96
Meg,That boy,That boy,Meg, ," said Jo , as the plates went round , and the ice began to melt out of sight , with ",1,61
Laurie,Meg,Meg,Laurie, of satisfaction . , ,2,103
Laurie,Mother,Laurie,Mother, ," laughed Jo , looking at her boots . ",2,11
Beth,Mother,Mother,Beth," laughed Jo , looking at her boots . "," said Mrs. March , smelling the half- dead posy in her belt . Beth nestled up to her , and whispered softly , ",2,65
Beth,Jo,Beth,Jo," said Mrs. March , smelling the half- dead posy in her belt . Beth nestled up to her , and whispered softly , ", CHAPTER 3 : The Laurence Boy ,2,26
Jo,Mrs. Gardiner,Jo,Mrs. Gardiner," answered a husky voice from above , and , running up , Meg found her sister eating apples and crying over the Heir of Redclyffe , wrapped up in a comforter on an old three- legged sofa by the sunny window . This was Jo 's favorite refuge , and here she loved to retire with half a dozen russets and a nice book , to enjoy the quiet and the society of a pet rat who lived near by and did n't mind her a pa rticle . As Meg appeared , Scrabble whisked into his hole . Jo shook the tears off her cheeks and waited to hear the news . "," cried Meg , waving the precious paper a nd then proceeding to read it with girlish delight . ",2,19
Marmee,Mrs. Gardiner,Mrs. Gardiner,Marmee," cried Meg , waving the precious paper a nd then proceeding to read it with girlish delight . ", ,2,38
Marmee,Mother,Marmee,Mother, answered Jo with her mouth full . , sighed Meg . ,2,8
Meg,dearies,Meg,dearies," . Meg 's high - heeled slippers were very tight and hurt her , though she would not own it , and Jo 's nineteen hairpins all seemed stuck straight into her head , which wa s not exactly comfortable , but , dear me , let us be elegant or die . "," said Mrs. March , as the sisters went daintily down the walk . ",2,8
Hannah,dearies,dearies,Hannah," said Mrs. March , as the sisters went daintily down the walk . "," As the gate clashed behind them , a voice cried from a window ... ",3,19
Hannah,girls,Hannah,girls," As the gate clashed behind them , a voice cried from a window ... ", ,2,14
Meg,girls,girls,Meg, ," cried Jo , adding with a laugh as they went on , ",1,15
Jo,Meg,Meg,Jo," Now do n't forget to keep the bad breadth out of sight , Jo . Is my sash right ? And does my hair look very bad ? "," I know I shall forget . If you see me doing anything wrong , just remind me by a wink , will you ? ",2,21
Jo,Mrs. Gardin er,Jo,Mrs. Gardin er," No , winking is n't ladylike . I 'll lift my eyebrows if any thing is wrong , and nod if you are all right . Now hold your shoulder straight , and take short st eps , and do n't shake hands if you are introduced to anyone . It is n't the thing . ", How do you learn all the proper ways ? I never can . Is n't that music gay ? ,3,1
Jo,the boy,Jo,the boy," Dear me , I did n't know anyone was here ! "," Do n't mind me , stay if you like . ",1,34
Jo,the boy,the boy,Jo," So did I. Do n't go away , please , unless you 'd rather . "," I think I 've had the pleasure of seeing you before . You live near us , do n't you ? ",2,23
Jo,the boy,Jo,the boy," I think I 've had the pleasure of seeing you before . You live near us , do n't you ? ", Next door . ,1,1
Jo,the boy,the boy,Jo, Next door . , We did have such a good time over your nice Christmas present . ,1,54
Jo,the boy,Jo,the boy," But you put it into his head , did n't you , now ? "," How is your cat , Miss March ? ",1,1
the boy,the young lady,the boy,the young lady," How is your cat , Miss March ? "," Nicely , thank you , Mr. Laurence . But I am not Miss March , I 'm only Jo , ",2,17
Jo,the young lady,the young lady,Jo," I 'm not Mr. Laurence , I 'm only Laurie . "," Laurie Laurence , what an odd name . ",1,1
Jo,the young lady,Jo,the young lady," My first name is Theodore , but I do n't like it , for the fellows called me Dora , so I made the say Laurie instead . "," I hate my name , too , so sentimental ! I wish every one would say Jo instead of Josephine . How did you make the boys stop calling you Dora ? ",3,1
Jo,the young lady,the young lady,Jo," I hate my name , too , so sentimental ! I wish every one would say Jo instead of Josephine . How did you make the boys stop calling you Dora ? ", I thrashed 'em . ,1,1
Jo,La urie,Jo,La urie," I ca n't thrash Aunt March , so I suppose I sh all have to bear it . "," Do n't you like to dance , Miss Jo ? ",1,9
La urie,Laurie,La urie,Laurie," I like it well enough if there is plenty of room , and everyone is lively . In a place like this I 'm sure to upset something , tread on people 's toes , or do something dreadful , so I keep out of mischief and let Meg sail about . Do n't you dance ? "," Sometimes . You see I 've been abroad a good many years , and have n't been into company enough yet to know how you do things here . ",2,1
Jo,Laurie,Laurie,Jo," Sometimes . You see I 've been abroad a good many years , and have n't been into company enough yet to know how you do things here . ", Abroad ! . ,1,1
Jo,Laurie,Jo,Laurie, Did you go to Paris ? , We spent last winter there . ,1,1
Jo,Laurie,Laurie,Jo, Can you talk French ? , We were not allowed to speak anything else at Vevay . ,1,1
Jo,Laurie,Jo,Laurie, We were not allowed to speak anything else at Vevay . ," Do say some ! I can read it , but ca n't pronounce . ",2,1
Jo,Laurie,Laurie,Jo," Yes , she makes me think of the German girl s , she looks so fresh and quiet , and dances like a lady . "," Curly black hair , brown skin , big black eyes , handsome nose , fine teeth , small hands and feet , taller than I am , very polite , for a boy , and altogether jolly . Wonder how old he is ? ",2,125
Jo,Laurie,Jo,Laurie," I suppose you are going to college soon ? I see you pegging away at your books , no , I mean studying hard . "," Not for a year or two . I wo n't go before seventeen , anyway . ",2,29
Jo,Laurie,Laurie,Jo," Not for a year or two . I wo n't go before seventeen , anyway . ", Are n't you but fifteen ? ,1,1
Jo,"the tall lad , whom she had imagined seventeen already",Jo,"the tall lad , whom she had imagined seventeen already", Are n't you but fifteen ? ," Sixteen , next month . ",1,17
Laurie,"the tall lad , whom she had imagined seventeen already","the tall lad , whom she had imagined seventeen already",Laurie," Sixteen , next month . ", How I wish I was going to college ! You do n't look as if you liked it . ,2,1
Jo,Laurie,Laurie,Jo, How I wish I was going to college ! You do n't look as if you liked it . ," I hate it ! Nothing but grinding or skylarking . And I do n't like the way fellows do either , in this country . ",3,1
Jo,"the tall lad , whom she had imagined seventeen already",Jo,"the tall lad , whom she had imagined seventeen already"," I hate it ! Nothing but grinding or skylarking . And I do n't like the way fellows do either , in this country . ", What do you like ? ,1,1
Laurie,"the tall lad , whom she had imagined seventeen already","the tall lad , whom she had imagined seventeen already",Laurie, What do you like ? ," To live in Italy , and to enjoy myself in my own way . ",1,1
Jo,Laurie,Laurie,Jo," To live in Italy , and to enjoy myself in my own way . ", That 's a splendid polka ! Why do n't you go and try it ? ,2,39
Jo,"the tall lad , whom she had imagined seventeen already",Jo,"the tall lad , whom she had imagined seventeen already", That 's a splendid polka ! Why do n't you go and try it ? ," If you will come too , ",1,1
Jo,"the tall lad , whom she had imagined seventeen already","the tall lad , whom she had imagined seventeen already",Jo," I ca n't , for I told meg I would n't , becau se ... "," Because , what ? ",1,15
Jo,Laurie,Jo,Laurie," Well , I have a bad trick of standing before the fire , and so I burn my frocks , and I scorched this one , and though it 's nicely mended , it shows , and Meg told me to keep still so no one would see it . You may laugh , if you want to . It is funny , I know . "," Nev er mind that . I 'll tell you how we can manage . There 's a long hall out there , and we can dance grandly , and no one will see us . Please come . ",4,28
Laurie,Meg,Laurie,Meg," Nev er mind that . I 'll tell you how we can manage . There 's a long hall out there , and we can dance grandly , and no one will see us . Please come . "," I 've sprained my ankle . That stupid high heel turned and gave me a sad wrench . It aches so , I can hardly stand , and I do n't know how I 'm ever going to get home , ",3,135
Jo,Meg,Meg,Jo," I 've sprained my ankle . That stupid high heel turned and gave me a sad wrench . It aches so , I can hardly stand , and I do n't know how I 'm ever going to get home , "," I knew you 'd hurt your feet w ith those silly shoes . I 'm sorry . But I do n't see what you can do , except get a carriage , or stay here all night , ",3,11
Hannah,Jo,Jo,Hannah, looking relieved as the idea occurred to her . , ,2,50
Hannah,dear,Hannah,dear, ," So Meg reclined , with rubbers well hidden , a nd Jo went blundering away to the dining room , which she found after goi ng into a china cl oset , and opening the door of a room where old Mr. Gardiner was taking a little private refreshment . Making a dart at the table , she secured the coffee , which she immediately spilled , thereby making the front of her dress as bad as the back . ",4,43
Jo,Meg,Meg,Jo, I saw you dancing with the red headed man I ran away from . Was he nice ? ," Oh . very ! His hair is auburn , not red , and he was very po lite , and I had a delicious redowa with him . ",2,1
